kabupaten,jumlah_penduduk_miskin,presentase_penduduk_miskin,p1,p2,garis_kemiskinan,tamat_kurang_sd,datam_sd_smp,tamat_lebih_dari_SMA,partisipasi_sekolah_7-12,partisipasi_sekolah_13-15,tidak_bekerja,bekerja_informal,bekerja_formal,tidak_bekerja,bekerja_pertanian,bekerja_bukan_pertanian,pengeluaran_makanan_miskin,pengeluaran_makanan_tidak_miskin,pengeluaran_makanan_total,air_layak,jamban
Simeulue,17.62,17.92,3.26,0.96,"538,693",13.39,55.61,31,98.21,100,55.42,34.97,9.61,55.42,33.99,10.59,63.76,56.63,57.18,71.5,69.37
Aceh Singkil,24.62,19.15,2.99,0.8,"568,691",16.4,53.55,30.04,100,100,46.66,31.29,22.04,46.66,35.54,17.8,69.28,60.1,61,73.55,84.3
Aceh Selatan,30.36,12.1,1.85,0.46,"494,565",18.38,52.27,29.34,95.72,93.93,60.49,23.07,16.45,60.49,21.15,18.36,62.02,61.57,61.59,80.26,74.33
Aceh Tenggara,27.96,12.45,1.59,0.33,"471,301",8.55,48.55,42.91,100,100,46.95,50.3,2.75,46.95,37.42,15.63,65.48,60.98,61.22,94.59,67.16
Aceh Timur,60.63,13.39,2.43,0.65,"530,934",4.38,66.54,29.08,100,100,55.87,17.1,27.03,55.87,27.89,16.24,64.65,60.39,60.66,71.82,82.72
Aceh Tengah,31.68,14.38,2.21,0.53,"584,863",7.33,51.59,41.08,100,100,26.24,66.94,6.82,26.24,59.88,13.88,59.76,53.22,53.72,93.43,92.79
Aceh Barat,38.84,17.86,2.47,0.53,"616,091",12.94,51.49,35.57,100,99.22,43.02,31.05,25.93,43.02,27.15,29.83,64.72,54.61,55.58,91.49,88.51
Aceh Besar,58.94,13.38,2,0.43,"564,431",9.7,47.65,42.65,98.87,100,38.2,46.31,15.49,38.2,39.56,22.24,63.95,52.64,53.29,94.72,72.48
Pidie,86.79,18.78,4.09,1.23,"579,450",11.91,51.71,36.37,99.15,92.65,48.28,32.58,19.13,48.28,28.25,23.47,67.65,62.49,63.02,85.79,34.05
Bireuen,59.21,12.12,1.9,0.46,"486,667",12.33,61.85,25.83,100,89.31,40.42,35.22,24.35,40.42,31.36,28.21,63.13,59.95,60.13,96.81,84.84
Aceh Utara,106.77,16.64,2.16,0.42,"454,361",11.39,60.17,28.44,100,100,49.11,36.67,14.22,49.11,32.92,17.97,67.57,61.55,61.99,86.43,73.32
Aceh Barat Daya,24.31,15.43,3.15,0.98,"474,127",14.31,50.93,34.76,100,78.9,50.62,19.45,29.93,50.62,26.42,22.97,64.46,57.85,58.36,96.29,74.29
Gayo Lues,18.24,18.82,3.13,0.85,"514,836",21.89,54.3,23.81,99.09,100,28.75,63.94,7.31,28.75,60.75,10.5,66.83,59.86,60.59,56.7,53.27
Aceh Tamiang,38.37,12.51,1.94,0.41,"555,387",11.1,44.59,44.31,100,100,56.79,24.96,18.25,56.79,18.98,24.23,59.68,56.08,56.27,92.14,92.86
Nagan Raya,29.78,17.25,3.12,1.05,"594,374",12.1,43.11,44.8,100,96.79,41.43,34.69,23.88,41.43,26.79,31.78,61.93,67.31,66.8,87.92,93.32
Aceh Jaya,12.22,12.42,2.22,0.56,"515,244",13.82,59.99,26.19,99.71,100,37.89,50.83,11.28,37.89,48.95,13.16,63.12,57.69,58,84.06,68.33
Bener Meriah,28.19,18.31,3.16,0.88,"551,868",8.76,36.41,54.83,99.21,96.43,28.41,67.55,4.04,28.41,61.65,9.93,62.24,56.21,56.81,77.31,88
Pidie Jaya,30.74,18.4,2.81,0.67,"572,452",8.92,40.23,50.85,97.29,99.73,53.03,29.97,17,53.03,27.21,19.76,66.7,60.81,61.43,85.44,76.65
Kota Banda Aceh,19.94,7.04,0.8,0.16,"814,530",1.97,32.46,65.57,99.8,100,51.55,11.19,37.26,51.55,4.23,44.23,56.41,44.49,44.8,99.87,100
Kota Sabang,5.14,14.59,3.17,1.01,"715,446",3.26,40.2,56.53,96.9,100,42.26,33.11,24.62,42.26,25.2,32.54,55.5,50.72,51,73.5,93.26
Kota Langsa,19.5,10.53,1.87,0.52,"512,319",8.61,51.97,39.42,100,94.42,53.93,18.98,27.09,53.93,8.36,37.71,61.51,49.9,50.37,99.65,95.27
Kota Lhokseumawe,23.1,10.73,2.23,0.7,"498,431",6.17,54.11,39.72,100,95.39,51.21,17.16,31.63,51.21,7.79,41,61.38,51.1,51.53,97.92,89.54
Kota Subulussalam,13.8,16.41,2.19,0.5,"487,777",21.15,50.16,28.68,100,95.98,54.56,23.54,21.9,54.56,33.09,12.35,61.5,52.46,53.18,30.41,84.13
Nias,21.99,15.1,1.95,0.4,"485,533",37.49,43.75,18.76,98.64,100,27.42,71.92,0.65,27.42,72.08,0.49,63.88,58.63,59.02,56.13,42.07
Mandailing Natal,41.04,8.86,1.48,0.44,"487,436",5.95,72.27,21.77,100,91,43.11,35.35,21.54,43.11,37.04,19.85,67.48,63.38,63.54,75.63,17.58
